2020-11-05 17:16:02,120 INFO DROPPING DATABASE; User Call
2020-11-05 17:16:02,120 WARNING RuntimeError; Working outside of application context.

This typically means that you attempted to use functionality that needed
to interface with the current application object in some way. To solve
this, set up an application context with app.app_context().  See the
documentation for more information.; POSSIBLE REASON: FIRST TIME STARTUP
2020-11-05 17:16:02,121 WARNING Re calling delete_db out of application context
2020-11-05 17:16:02,142 DEBUG DROPPING User; REASON: User Call [Delete Database]
2020-11-05 17:16:02,156 DEBUG DROPPING Playlists; REASON: User Call [Delete Database]
2020-11-05 17:16:02,168 DEBUG DROPPING Tracks; REASON: User Call [Delete Database]
2020-11-05 17:16:02,181 DEBUG DROPPING Albums; REASON: User Call [Delete Database]
2020-11-05 17:16:02,193 DEBUG DROPPING Artists; REASON: User Call [Delete Database]
2020-11-05 17:16:02,206 DEBUG DROPPING TrackAlbum; REASON: User Call [Delete Database]
2020-11-05 17:16:02,232 DEBUG DROPPING TrackArtists; REASON: User Call [Delete Database]
2020-11-05 17:16:02,247 DEBUG DROPPING TrackPlaylists; REASON: User Call [Delete Database]
2020-11-05 17:16:02,264 DEBUG DROPPING AlbumArtists; REASON: User Call [Delete Database]
